Table Name: Elements.objectTypes Fields
Field,Type,Definition
label,String,A label for this object type
minInstances,Integer,The minimum number of instances
maxInstances,Integer,The maximum number of instances
required,Boolean,Indicates whether the object is required
allowedWhen,Object,Condition when type is allowed
notAllowedWhen,Object,Condition when type is not allowed
requiredWhen,Object,Condition when type is required
notRequiredWhen,Object,Condition when type is not required
fieldValues,Object,Object type discriminators
